Chuc nang,File Name,Class Name,Method Name,Reason
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/controller/cart/CartController.java","CartController","addToCart; viewCart; updateCartItemQuantity; removeFromCart; clearCart","Thuoc scope giỏ hàng, không phai quan li đơn hàng"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/service/guest/CartService.java","CartService","addToCart; viewCart; updateCartItemQuantity; removeFromCart; clearCart","Business logic giỏ hàng, tach khoi scope order management"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/controller/PaymentController.java","PaymentController","getStatusName","Private helper, được cover gian tiep qua getPaymentStatus"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/service/order/OrderService.java","OrderService","getStatusName","Private helper, được cover gian tiep qua updateOrderStatus va payment flow"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/service/payment/VNPayService.java","VNPayService","extractTransactionRef; extractOrderIdFromOrderInfo; generateQRCodeUrl; getStatusName","Private helpers, cover gián tiếp thông qua public methods"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/service/payment/ZaloPayService.java","ZaloPayService","generateAppTransId; hmacSHA256; createMac; getStatusName","Private helpers, cover qua createPayment callback tests"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/listener/NotificationEventListener.java","NotificationEventListener","handleNotificationSendEvent; handleBroadcastNotificationEvent; formatPrice","Khong đặc thù cho order management hoac la helper được cover gian tiep"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/service/NotificationService.java","NotificationService","sendBroadcast; getAllNotificationsForUser; countUnreadNotifications; getUnreadNotificationsForUser; markAsRead; toggleMarkAllAsRead; getHistoryForUser; toNotificationResponse","Scope thông báo chung, không đặc thù cho luồng quan li đơn hàng"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/service/FcmDeviceTokenService.java","FcmDeviceTokenService","registerToken; deleteToken; deleteAllTokensForUser; getTokensForUser; getActiveTokensForUser; deleteTokenByValue","Ha tang FCM, chi la dependency cua thông báo đơn hàng"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/service/FirebaseMessagingService.java","FirebaseMessagingService","sendNotificationToDevice; sendNotificationWithData; sendNotificationToTopic","Ha tang external FCM, không phai business logic order"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/repository/product/CartItemRepository.java","CartItemRepository","findAllByUserId; findByUser_IdAndProductA_Id; inherited CRUD","Repository giỏ hàng; trỗng scope nay chi được su đúng gian tiep bởi placeOrder"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/repository/product/ProductAttributeRepository.java","ProductAttributeRepository","increaseSoldQuantity","Hien dang không được gọi trỗng luồng đơn hàng vi code da comment out"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/repository/UserRepository.java","UserRepository","existsByPhoneNumber; findByPhoneNumber; existsByEmail; findByEmail; findDistinctByRoles_NameIn","Duoc cover gian tiep qua service listener tests; không co custom query phức tạp"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/repository/NotificationRepository.java","NotificationRepository","findByRecipient_IdOrderByCreatedAtDesc; countByRecipient_IdAndIsReadFalse; findByRecipient_IdAndIsReadFalseOrderByCreatedAtDesc","Khong phai repository đặc thù order management; thuoc thông báo chung"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/mapper/product/OrderMapper.java","OrderMapper","toOrder; toOrdersResponse; toOrderDetailsResponse; toOrderNoteResponse; toOrderItem","Mapping generated bởi MapStruct, giá trị test thấp hơn logic custom"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/event/OrderCreatedEvent.java","OrderCreatedEvent","Record accessors","Data carrier, không co business logic"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/event/OrderStatusUpdateEvent.java","OrderStatusUpdateEvent","Record accessors","Data carrier, không co business logic"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/entity/cart/Orders.java","Orders","All methods/generated accessors","JPA entity, được cover gian tiep qua service repository integration"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/entity/cart/OrderItem.java","OrderItem","All methods/generated accessors","JPA entity, được cover gian tiep qua service repository integration"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/entity/cart/OrderNote.java","OrderNote","All methods/generated accessors","JPA entity, được cover gian tiep qua service repository integration"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/dto/request/cartRequest/CreateOrderRequest.java","CreateOrderRequest","All fields/accessors","DTO request, không co business logic"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/dto/request/cartRequest/OrderItemsUpdateRequest.java","OrderItemsUpdateRequest","All fields/accessors","DTO request, không co business logic"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/dto/request/cartRequest/OrderRequest.java","OrderRequest","All fields/accessors","DTO request, không co business logic"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/dto/request/order/UpdateOrderStatusRequest.java","UpdateOrderStatusRequest","All fields/accessors","DTO request, không co business logic"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/dto/request/payment/CreatePaymentRequest.java","CreatePaymentRequest","All fields/accessors","DTO request, không co business logic"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/dto/response/cart/OrderDetailsResponse.java","OrderDetailsResponse","All fields/accessors","DTO response, không co business logic"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/dto/response/cart/OrdersResponse.java","OrdersResponse","All fields/accessors","DTO response, không co business logic"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/dto/response/order/OrderStatusUpdateResponse.java","OrderStatusUpdateResponse","All fields/accessors","DTO response, không co business logic"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/dto/response/payment/PaymentResponse.java","PaymentResponse","All fields/accessors","DTO response, không co business logic"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/dto/response/payment/PaymentCallbackResponse.java","PaymentCallbackResponse","All fields/accessors","DTO response, không co business logic"
"Quản lí đơn hàng - Excluded","src/main/java/com/DATN/Bej/dto/response/payment/PaymentStatusResponse.java","PaymentStatusResponse","All fields/accessors","DTO response, không co business logic"



