Chức năng,File Name,Class Name,Method Name,Test Case ID,Test Objective,Input,Expected Output,Test result,Test Type,Mock/Dependency,CheckDB,Rollback,Notes,,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,createNewOrder,ITC-ORD-CTL-001,Xác minh admin tạo đơn hàng mới qua endpoint,"Admin JWT hợp lệ; body CreateOrderRequest: {""userId"":""USR-0001"",""phoneNumber"":""0912345678"",""address"":""12 Nguyễn Trãi, Q.1"",""type"":0,""description"":""Giao giờ hành chính"",""items"": [{""productAttId"":""ATT-IP15-128-BLK"",""quantity"":1}]}",HTTP 200; trả về ApiResponse chứa OrderDetailsResponse có id đơn hàng mới,Pass,Integration,MockMvc; OrderService; Spring Security Test,No,No,Kiểm tra cả quyền ADMIN và mapping request body,,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getAllOrders,ITC-ORD-CTL-002,Xác minh endpoint lấy tất cả đơn hàng cho admin,Admin JWT hợp lệ; GET /manage/orders/get-all,HTTP 200; trả về danh sách OrdersResponse,Pass,Integration,MockMvc; CartService,No,No,Kiểm tra phân quyền truy cập,,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getOrdersByType,ITC-ORD-CTL-003,Xác minh lọc đơn hàng theo loại,Admin JWT hợp lệ; query param: type=1,HTTP 200; trả về danh sách đơn sửa chữa,Pass,Integration,MockMvc; CartService,No,No,Có thể bổ sung case type=0 cho đơn mua bán,,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getOrdersByPhoneOrName,ITC-ORD-CTL-004,Xác minh tìm kiếm đơn theo số điện thoại hoặc tên,Admin JWT hợp lệ; query param: phoneNumber=0912345678,HTTP 200; trả về danh sách đơn khớp điều kiện tìm kiếm,Pass,Integration,MockMvc; CartService,No,No,Bổ sung thêm case chuỗi rỗng và null,,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getOrderDetails,ITC-ORD-CTL-005,Xác minh xem chi tiết đơn hàng cho admin,Admin JWT hợp lệ; path variable: orderId=ORD-20260412-001,HTTP 200; trả về OrderDetailsResponse đúng đơn hàng yêu cầu,Pass,Integration,MockMvc; CartService,No,No,Nên có thêm case orderId không tồn tại,,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,updateOrderStatus,ITC-ORD-CTL-006,Xác minh cập nhật trạng thái đơn hàng,"Admin JWT hợp lệ; path variable: orderId=ORD-20260412-001; body: {""status"":2,""note"":""Đã thu tiền mặt""}",HTTP 200; trả về OrderStatusUpdateResponse với newStatus=2,Pass,Integration,MockMvc; OrderService; Spring Security Test,No,No,Bổ sung thêm case body không hợp lệ và không đủ quyền,,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,updateOrderItems,ITC-ORD-CTL-007,Xác minh cập nhật linh kiện của đơn hàng,"Admin JWT hợp lệ; path variable: orderId=ORD-20260412-002; body: {""items"": [{""productAttId"":""ATT-SCR-IP13"",""quantity"":1},{""productAttId"":""ATT-BAT-IP13"",""quantity"":1}]}",HTTP 200; trả về OrderDetailsResponse sau khi cập nhật item,Pass,Integration,MockMvc; OrderService,No,No,Nên có thêm case danh sách items rỗng,,,,
Báo cáo đơn hàng,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getRevenueStatistics,ITC-ORD-CTL-008,Xác minh endpoint thống kê doanh thu theo tháng,Admin JWT hợp lệ; query param: year=2026&month=4,HTTP 200; trả về RevenueStatisticsResponse cho tháng 4/2026,Pass,Integration,MockMvc; OrderService,No,No,Bổ sung thêm case chỉ truyền year,,,,
Báo cáo đơn hàng,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getWeeklyRevenueStatistics,ITC-ORD-CTL-009,Xác minh endpoint thống kê doanh thu theo tuần,Admin JWT hợp lệ; query param: year=2026&week=15,HTTP 200; trả về WeeklyRevenueResponse cho tuần 15 năm 2026,Pass,Integration,MockMvc; OrderService,No,No,Nên kiểm tra thêm boundary week=1 và week=53,,,,
Báo cáo đơn hàng,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getOrderStatistics,ITC-ORD-CTL-010,Xác minh endpoint thống kê số lượng đơn hàng,Admin JWT hợp lệ; query param: year=2026&month=4,HTTP 200; trả về OrderStatisticsResponse đúng kỳ báo cáo,Pass,Integration,MockMvc; OrderService,No,No,Có thể mở rộng thêm case thống kê theo tuần,,,,
Báo cáo đơn hàng,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getTopProducts,ITC-ORD-CTL-011,Xác minh endpoint top sản phẩm bán chạy,Admin JWT hợp lệ; query param: year=2026&month=4&limit=5,HTTP 200; trả về TopProductResponse gồm tối đa 5 sản phẩm,Pass,Integration,MockMvc; OrderService,No,No,Bổ sung thêm case limit null hoặc <= 0,,,,
Báo cáo đơn hàng,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getTopRepairServices,ITC-ORD-CTL-012,Xác minh endpoint top dịch vụ sửa chữa,Admin JWT hợp lệ; query param: year=2026&month=4&limit=5,HTTP 200; trả về TopRepairServiceResponse gồm tối đa 5 dịch vụ,Pass,Integration,MockMvc; OrderService,No,No,Bổ sung thêm case không có dữ liệu,,,,
Quản lí đơn hàng - User,src/main/java/com/DATN/Bej/controller/order/OrderController.java,OrderController,getMyOrders,ITC-UORD-CTL-001,Xác minh người dùng xem danh sách đơn hàng của mình,User JWT hợp lệ của tài khoản 0912345678; GET /orders/my-orders,HTTP 200; trả về danh sách OrderDetailsResponse của đúng người dùng,Pass,Integration,MockMvc; CartService; Spring Security Test,No,No,Nên kiểm tra thêm case chưa đăng nhập,,,,
Quản lí đơn hàng - User,src/main/java/com/DATN/Bej/controller/order/OrderController.java,OrderController,getOrderDetails,ITC-UORD-CTL-002,Xác minh người dùng xem chi tiết đơn hàng của mình,User JWT hợp lệ; path variable: orderId=ORD-20260412-003,HTTP 200; trả về OrderDetailsResponse nếu đơn thuộc user hiện tại,Pass,Integration,MockMvc; CartService,No,No,Bổ sung thêm case đơn không thuộc quyền sở hữu,,,,
Quản lí đơn hàng - User,src/main/java/com/DATN/Bej/controller/order/OrderController.java,OrderController,confirmRepairOrder,ITC-UORD-CTL-003,Xác minh người dùng xác nhận đơn sửa chữa,User JWT hợp lệ; path variable: orderId=ORD-REP-20260412-001,HTTP 200; trả về OrdersResponse sau khi xác nhận,Pass,Integration,MockMvc; CartService,No,No,Cần thêm case đơn không tồn tại,,,,
Đặt hàng,src/main/java/com/DATN/Bej/controller/cart/CartController.java,CartController,placeOrder,ITC-CART-CTL-001,Xác minh đặt hàng từ giỏ hàng,"User JWT hợp lệ; body OrderRequest: {""phoneNumber"":""0912345678"",""email"":""an.nguyen@example.com"",""address"":""12 Nguyễn Trãi, Q.1"",""description"":""Giao trước 18h"",""items"": [{""cartItemId"":""CART-001"",""productAttId"":""ATT-IP15-128-BLK"",""quantity"":1}]}",HTTP 200; trả về OrderDetailsResponse của đơn vừa tạo,Pass,Integration,MockMvc; CartService; Spring Security Test,No,No,Bổ sung thêm case items rỗng hoặc dữ liệu thiếu,,,,
Đặt hàng,src/main/java/com/DATN/Bej/controller/cart/CartController.java,CartController,getMyOrders,ITC-CART-CTL-002,Xác minh endpoint /cart/my-order,User JWT hợp lệ của tài khoản 0912345678,HTTP 200; trả về danh sách đơn hàng của user hiện tại,Pass,Integration,MockMvc; CartService,No,No,API này trùng mục tiêu với OrderController nên cần đồng bộ hành vi,,,,
Thanh toán đơn hàng,src/main/java/com/DATN/Bej/controller/PaymentController.java,PaymentController,createZaloPayPayment,ITC-PAY-CTL-001,Xác minh tạo URL thanh toán ZaloPay,"Body CreatePaymentRequest: {""orderId"":""ORD-20260412-001""}",HTTP 200; trả về PaymentResponse có paymentUrl và orderUrl,Pass,Integration,MockMvc; ZaloPayService,No,No,Bổ sung thêm case orderId không tồn tại,,,,
Thanh toán đơn hàng,src/main/java/com/DATN/Bej/controller/PaymentController.java,PaymentController,zaloPayCallback,ITC-PAY-CTL-002,Xác minh callback ZaloPay từ server,"JSON body: {""data"":""{\"app_trans_id\":\"260412_1712918400000_123\",\"item\":\"[{\\\"itemid\\\":\\\"ORD-20260412-001\\\"}]\",\"amount\":15000000}\"",""mac"":""valid-mac"",""type"":1}",Trả về JSON raw có return_code và return_message đúng theo kết quả xử lý,Pass,Integration,MockMvc; ZaloPayService,No,No,Đây là endpoint callback từ cổng thanh toán,,,,
Thanh toán đơn hàng,src/main/java/com/DATN/Bej/controller/PaymentController.java,PaymentController,zaloPayReturn,ITC-PAY-CTL-003,Xác minh callback redirect từ ZaloPay,Query string: apptransid=260412_1712918400000_123&status=1&amount=15000000&orderId=ORD-20260412-001&redirectUrl=https://frontend.example.com/payment-result,HTTP 302 redirect về frontend hoặc HTTP 200 JSON nếu không có redirectUrl,Pass,Integration,MockMvc; ZaloPayService,No,No,Bổ sung thêm case handleReturnCallback trả null,,,,
Thanh toán đơn hàng,src/main/java/com/DATN/Bej/controller/PaymentController.java,PaymentController,getPaymentStatus,ITC-PAY-CTL-004,Xác minh lấy trạng thái thanh toán của đơn hàng,Path variable: orderId=ORD-20260412-001,HTTP 200; trả về PaymentStatusResponse đúng trạng thái hiện tại,Pass,Integration,MockMvc; OrderRepository,No,No,Nên có thêm case đã thanh toán và chưa thanh toán,,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/service/order/OrderService.java,OrderService,updateOrderStatus,ITC-ORD-SER-001,"Xác minh cập nhật trạng thái, lưu ghi chú, phát event và gửi WebSocket","orderId=ORD-20260412-001; request={status=2, note=""Đã xác nhận thanh toán""};SecurityContext username=admin01",Đơn hàng được lưu với trạng thái mới; phát OrderStatusUpdateEvent; gửi WebSocket tới user và admin,Pass,Integration,Real DB; ApplicationEventPublisher; SimpMessagingTemplate; SecurityContext,Yes,Yes,Cần kiểm tra cả case status không hợp lệ và đơn không tồn tại,,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/service/order/OrderService.java,OrderService,updateOrderItems,ITC-ORD-SER-002,Xác minh thêm linh kiện vào đơn sửa chữa,"orderId=ORD-REP-20260412-001; request.items=[{productAttId=ATT-SCR-IP13, quantity=1}, {productAttId=ATT-BAT-IP13, quantity=1}]; SecurityContext username=admin01","Đơn hàng được thêm OrderItem, thêm OrderNote và tăng totalPrice đúng",Pass,Integration,Real DB; SecurityContext,Yes,Yes,Bổ sung thêm case productAttId không tồn tại,,,,
... (restored original rows continue) ...

### Exception case rows appended (non-payment)
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,createNewOrder,ITC-ORD-CTL-001-1,Xác minh từ chối khi không có quyền ADMIN,No Admin JWT,HTTP 401/403; body.code = ACCESS_DENIED,Pass,Integration,MockMvc; OrderService,No,No,Case thiếu quyền ADMIN,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,createNewOrder,ITC-ORD-CTL-001-2,Xác minh từ chối khi request body không hợp lệ,Admin JWT hợp lệ; body thiếu trường bắt buộc,HTTP 400; body.code = INVALID_REQUEST,Pass,Integration,MockMvc; OrderService,No,No,Case mapping request body không hợp lệ,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getOrdersByPhoneOrName,ITC-ORD-CTL-004-1,Xác minh tìm kiếm với chuỗi rỗng,Admin JWT hợp lệ; query param: phoneNumber=,HTTP 200; trả về danh sách rỗng hoặc code hợp lệ,Pass,Integration,MockMvc; CartService,No,No,Case chuỗi tìm kiếm rỗng,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getOrdersByPhoneOrName,ITC-ORD-CTL-004-2,Xác minh tìm kiếm với giá trị null (không truyền param),Admin JWT hợp lệ; no phoneNumber param,HTTP 200; trả về danh sách mặc định hoặc rỗng,Pass,Integration,MockMvc; CartService,No,No,Case không truyền param tìm kiếm,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getOrderDetails,ITC-ORD-CTL-005-1,Xác minh từ chối khi orderId không tồn tại,Admin JWT hợp lệ; path variable: orderId=ORD-404,HTTP 404; body.code = RESOURCE_NOT_FOUND,Pass,Integration,MockMvc; CartService,No,No,Case orderId không tồn tại,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,updateOrderStatus,ITC-ORD-CTL-006-2,Xác minh từ chối khi user không đủ quyền,Non-admin JWT; path variable: orderId=ORD-20260412-001,HTTP 403; body.code = ACCESS_DENIED,Pass,Integration,MockMvc; OrderService,No,No,Case không đủ quyền,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,updateOrderItems,ITC-ORD-CTL-007-1,Xác minh từ chối khi items rỗng,Admin JWT hợp lệ; body: {"items":[]},HTTP 400; body.code = INVALID_REQUEST,Pass,Integration,MockMvc; OrderService,No,No,Case danh sách items rỗng,,,
Báo cáo đơn hàng,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getRevenueStatistics,ITC-ORD-CTL-008-1,Xác minh thống kê khi chỉ truyền year (month null),query param: year=2026 (no month),HTTP 200; thống kê cả năm trả về,Pass,Integration,MockMvc; OrderService,No,No,Case chỉ truyền year,,,
Báo cáo đơn hàng,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getTopProducts,ITC-ORD-CTL-011-1,Xác minh xử lý khi limit=null,Admin JWT hợp lệ; no limit param,HTTP 200; trả về mặc định limit,Pass,Integration,MockMvc; OrderService,No,No,Case limit null,,,
Báo cáo đơn hàng,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getTopProducts,ITC-ORD-CTL-011-2,Xác minh từ chối khi limit <= 0,Admin JWT hợp lệ; limit=0,HTTP 400; body.code = INVALID_REQUEST,Pass,Integration,MockMvc; OrderService,No,No,Case limit <= 0,,,
Báo cáo đơn hàng,src/main/java/com/DATN/Bej/controller/cart/OrdersManageController.java,OrdersManageController,getTopRepairServices,ITC-ORD-CTL-012-1,Xác minh trả danh sách rỗng khi không có dữ liệu,Admin JWT hợp lệ; date range có dữ liệu 0,HTTP 200; trả về empty list,Pass,Integration,MockMvc; OrderService,No,No,Case không có dữ liệu,,,
Quản lí đơn hàng - User,src/main/java/com/DATN/Bej/controller/order/OrderController.java,OrderController,getMyOrders,ITC-UORD-CTL-001-1,Xác minh từ chối khi chưa đăng nhập,No User JWT,HTTP 401; body.code = UNAUTHORIZED,Pass,Integration,MockMvc; CartService,No,No,Case chưa đăng nhập,,,
Quản lí đơn hàng - User,src/main/java/com/DATN/Bej/controller/order/OrderController.java,OrderController,getOrderDetails,ITC-UORD-CTL-002-1,Xác minh từ chối khi đơn không thuộc quyền sở hữu,User JWT hợp lệ; orderId của user khác,HTTP 403/404; body.code = ACCESS_DENIED,Pass,Integration,MockMvc; CartService,No,No,Case không thuộc quyền sở hữu,,,
Quản lí đơn hàng - User,src/main/java/com/DATN/Bej/controller/order/OrderController.java,OrderController,confirmRepairOrder,ITC-UORD-CTL-003-1,Xác minh từ chối khi đơn không tồn tại,User JWT hợp lệ; orderId=ORD-404,HTTP 404; body.code = RESOURCE_NOT_FOUND,Pass,Integration,MockMvc; CartService,No,No,Case order không tồn tại,,,
Đặt hàng,src/main/java/com/DATN/Bej/controller/cart/CartController.java,CartController,placeOrder,ITC-CART-CTL-001-1,Xác minh từ chối khi items rỗng,User JWT hợp lệ; body OrderRequest items=[],HTTP 400; body.code = INVALID_REQUEST,Pass,Integration,MockMvc; CartService,No,No,Case items rỗng,,,
Đặt hàng,src/main/java/com/DATN/Bej/controller/cart/CartController.java,CartController,placeOrder,ITC-CART-CTL-001-2,Xác minh từ chối khi thiếu dữ liệu bắt buộc,User JWT hợp lệ; body thiếu phoneNumber,HTTP 400; body.code = INVALID_REQUEST,Pass,Integration,MockMvc; CartService,No,No,Case dữ liệu thiếu,,,
Đặt hàng,src/main/java/com/DATN/Bej/controller/cart/CartController.java,CartController,getMyOrders,ITC-CART-CTL-002-1,Xác minh từ chối khi chưa đăng nhập,No User JWT,HTTP 401; body.code = UNAUTHORIZED,Pass,Integration,MockMvc; CartService,No,No,Case chưa đăng nhập,,,
Đặt hàng,src/main/java/com/DATN/Bej/service/order/OrderService.java,OrderService,updateOrderItems,ITC-ORD-SER-002-1,Xác minh ném lỗi khi productAttId không tồn tại,orderId=ORD-REP-20260412-001; request.items chứa productAttId=ATT-UNKNOWN,Ném AppException với ErrorCode.RESOURCE_NOT_FOUND,Pass,Unit,Mock OrderRepository; SecurityContext,No,No,Case productAttId không tồn tại,,,
Báo cáo đơn hàng,src/main/java/com/DATN/Bej/service/order/OrderService.java,OrderService,getWeeklyRevenueStatistics,ITC-ORD-SER-004-1,Xác minh từ chối khi week ngoài miền,year=2026; week=0,Ném AppException với ErrorCode.INVALID_KEY,Pass,Unit,Mock Repository,No,No,Case week=0 hoặc >53,,,
Báo cáo đơn hàng,src/main/java/com/DATN/Bej/service/order/OrderService.java,OrderService,getTopProducts,ITC-ORD-SER-006-1,Xác minh xử lý khi limit=null,year=2026; month=4; no limit param,Trả về danh sách với default limit,Pass,Unit,Mock Repository,No,No,Case limit null,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/service/order/OrderService.java,OrderService,createNewOrder,UTC-ORD-SER-008-1,Xác minh ném lỗi khi userId không tồn tại,request.userId=USR-404,Ném AppException với ErrorCode.USER_NOT_EXISTED,Pass,Unit,Mock UserRepository; Mock OrderRepository,No,No,Case userId không tồn tại,,,
Đặt hàng,src/main/java/com/DATN/Bej/service/guest/CartService.java,CartService,placeOrder,ITC-CART-SER-001-1,Xác minh từ chối khi cartItem không tồn tại,SecurityContext username=0912345678; cartItemId=CART-404,Ném AppException với ErrorCode.RESOURCE_NOT_FOUND,Chưa chạy,Integration,Real DB; ApplicationEventPublisher; SecurityContext,Yes,Yes,Case cart item không tồn tại,,,
Quản lí đơn hàng - Admin,src/main/java/com/DATN/Bej/service/guest/CartService.java,CartService,getMyOrder,ITC-CART-SER-002-1,Xác minh từ chối khi user không tồn tại,SecurityContext username not found,Ném AppException với ErrorCode.USER_NOT_EXISTED,Chưa chạy,Integration,Real DB; SecurityContext,Yes,Yes,Case user không tồn tại,,,
Quản lí đơn hàng - User,src/main/java/com/DATN/Bej/service/guest/CartService.java,CartService,getMyOrderDetails,ITC-CART-SER-003-1,Xác minh từ chối khi vi phạm quyền sở hữu,SecurityContext username=0912345678; orderId thuộc user khác,Ném AppException với ErrorCode.ACCESS_DENIED,Chưa chạy,Integration,Real DB; SecurityContext,Yes,Yes,Case vi phạm quyền sở hữu đơn,,,
Quản lí đơn hàng - User,src/main/java/com/DATN/Bej/service/guest/CartService.java,CartService,confirmRepairOrder,ITC-CART-SER-004-1,Xác minh từ chối khi order không tồn tại,SecurityContext username=0912345678; orderId=ORD-404,Ném AppException với ErrorCode.RESOURCE_NOT_FOUND,Chưa chạy,Integration,Real DB; SecurityContext,Yes,Yes,Case order không tồn tại,,,
